PrdLevel,Date,Value,Cut,Short,Geography,Flag
I T C_BINGO TEDHE MEDHE,01-09-2017,60.2288,State,JH,Jharkhand,Training
I T C_BINGO TEDHE MEDHE,01-10-2017,67.3284,State,JH,Jharkhand,Training
I T C_BINGO TEDHE MEDHE,01-11-2017,61.6822,State,JH,Jharkhand,Training
I T C_BINGO TEDHE MEDHE,01-12-2017,66.8536,State,JH,Jharkhand,Training
I T C_BINGO TEDHE MEDHE,01-01-2018,72.2411,State,JH,Jharkhand,Training
I T C_BINGO TEDHE MEDHE,01-02-2018,57.8862,State,JH,Jharkhand,Training
I T C_BINGO TEDHE MEDHE,01-03-2018,71.9181,State,JH,Jharkhand,Training
I T C_BINGO TEDHE MEDHE,01-04-2018,71.8499,State,JH,Jharkhand,Training
I T C_BINGO TEDHE MEDHE,01-05-2018,79.7468,State,JH,Jharkhand,Training
I T C_BINGO TEDHE MEDHE,01-06-2018,74.3066,State,JH,Jharkhand,Training
I T C_BINGO TEDHE MEDHE,01-07-2018,76.9763,State,JH,Jharkhand,Training
I T C_BINGO TEDHE MEDHE,01-08-2018,72.8369,State,JH,Jharkhand,Training
I T C_BINGO TEDHE MEDHE,01-09-2018,71.0134,State,JH,Jharkhand,Training
I T C_BINGO TEDHE MEDHE,01-10-2018,75.95314445,State,JH,Jharkhand,Forecasted
I T C_BINGO TEDHE MEDHE,01-11-2018,75.9189636,State,JH,Jharkhand,Forecasted
I T C_BINGO TEDHE MEDHE,01-12-2018,77.12416383,State,JH,Jharkhand,Forecasted
I T C_BINGO TEDHE MEDHE,01-09-2017,30.916,State,KA,Karnataka,Training
I T C_BINGO TEDHE MEDHE,01-10-2017,33.1494,State,KA,Karnataka,Training
I T C_BINGO TEDHE MEDHE,01-11-2017,40.9273,State,KA,Karnataka,Training
I T C_BINGO TEDHE MEDHE,01-12-2017,42.3322,State,KA,Karnataka,Training
I T C_BINGO TEDHE MEDHE,01-01-2018,51.5778,State,KA,Karnataka,Training
I T C_BINGO TEDHE MEDHE,01-02-2018,46.5996,State,KA,Karnataka,Training
I T C_BINGO TEDHE MEDHE,01-03-2018,48.0975,State,KA,Karnataka,Training
I T C_BINGO TEDHE MEDHE,01-04-2018,49.3988,State,KA,Karnataka,Training
I T C_BINGO TEDHE MEDHE,01-05-2018,54.5649,State,KA,Karnataka,Training
I T C_BINGO TEDHE MEDHE,01-06-2018,59.9256,State,KA,Karnataka,Training
I T C_BINGO TEDHE MEDHE,01-07-2018,57.7753,State,KA,Karnataka,Training
I T C_BINGO TEDHE MEDHE,01-08-2018,59.124,State,KA,Karnataka,Training
I T C_BINGO TEDHE MEDHE,01-09-2018,55.8842,State,KA,Karnataka,Training
I T C_BINGO TEDHE MEDHE,01-10-2018,57.51325588,State,KA,Karnataka,Forecasted
I T C_BINGO TEDHE MEDHE,01-11-2018,59.14231176,State,KA,Karnataka,Forecasted
I T C_BINGO TEDHE MEDHE,01-12-2018,60.77136765,State,KA,Karnataka,Forecasted
I T C_BINGO TEDHE MEDHE,01-09-2017,5.6444,State,KL,Kerala,Training
I T C_BINGO TEDHE MEDHE,01-10-2017,7.1541,State,KL,Kerala,Training
I T C_BINGO TEDHE MEDHE,01-11-2017,10.7354,State,KL,Kerala,Training
I T C_BINGO TEDHE MEDHE,01-12-2017,14.0678,State,KL,Kerala,Training
I T C_BINGO TEDHE MEDHE,01-01-2018,15.3841,State,KL,Kerala,Training
I T C_BINGO TEDHE MEDHE,01-02-2018,14.304,State,KL,Kerala,Training
I T C_BINGO TEDHE MEDHE,01-03-2018,14.254,State,KL,Kerala,Training
I T C_BINGO TEDHE MEDHE,01-04-2018,13.0471,State,KL,Kerala,Training
I T C_BINGO TEDHE MEDHE,01-05-2018,13.5946,State,KL,Kerala,Training
I T C_BINGO TEDHE MEDHE,01-06-2018,11.3669,State,KL,Kerala,Training
I T C_BINGO TEDHE MEDHE,01-07-2018,11.1546,State,KL,Kerala,Training
I T C_BINGO TEDHE MEDHE,01-08-2018,10.1822,State,KL,Kerala,Training
I T C_BINGO TEDHE MEDHE,01-09-2018,9.8787,State,KL,Kerala,Training
I T C_BINGO TEDHE MEDHE,01-10-2018,9.723990945,State,KL,Kerala,Forecasted
I T C_BINGO TEDHE MEDHE,01-11-2018,9.64512804,State,KL,Kerala,Forecasted
I T C_BINGO TEDHE MEDHE,01-12-2018,9.604927693,State,KL,Kerala,Forecasted
I T C_BINGO TEDHE MEDHE,01-09-2017,61.0796,State,MH,Maharashtra,Training
I T C_BINGO TEDHE MEDHE,01-10-2017,68.9735,State,MH,Maharashtra,Training
I T C_BINGO TEDHE MEDHE,01-11-2017,69.6259,State,MH,Maharashtra,Training
I T C_BINGO TEDHE MEDHE,01-12-2017,72.4458,State,MH,Maharashtra,Training
I T C_BINGO TEDHE MEDHE,01-01-2018,70.8256,State,MH,Maharashtra,Training
I T C_BINGO TEDHE MEDHE,01-02-2018,79.21,State,MH,Maharashtra,Training
I T C_BINGO TEDHE MEDHE,01-03-2018,88.042,State,MH,Maharashtra,Training
I T C_BINGO TEDHE MEDHE,01-04-2018,83.4912,State,MH,Maharashtra,Training
I T C_BINGO TEDHE MEDHE,01-05-2018,96.7723,State,MH,Maharashtra,Training
I T C_BINGO TEDHE MEDHE,01-06-2018,99.0296,State,MH,Maharashtra,Training
I T C_BINGO TEDHE MEDHE,01-07-2018,100.8719,State,MH,Maharashtra,Training
I T C_BINGO TEDHE MEDHE,01-08-2018,106.5652,State,MH,Maharashtra,Training
I T C_BINGO TEDHE MEDHE,01-09-2018,100.5818,State,MH,Maharashtra,Training
I T C_BINGO TEDHE MEDHE,01-10-2018,100.5818,State,MH,Maharashtra,Forecasted
I T C_BINGO TEDHE MEDHE,01-11-2018,100.5818,State,MH,Maharashtra,Forecasted
I T C_BINGO TEDHE MEDHE,01-12-2018,100.5818,State,MH,Maharashtra,Forecasted
I T C_BINGO TEDHE MEDHE,01-09-2017,33.0535,State,MP,Madhya Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-10-2017,30.1909,State,MP,Madhya Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-11-2017,36.7559,State,MP,Madhya Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-12-2017,33.8218,State,MP,Madhya Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-01-2018,40.192,State,MP,Madhya Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-02-2018,26.7084,State,MP,Madhya Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-03-2018,35.2951,State,MP,Madhya Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-04-2018,40.1094,State,MP,Madhya Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-05-2018,39.7635,State,MP,Madhya Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-06-2018,42.0432,State,MP,Madhya Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-07-2018,47.0799,State,MP,Madhya Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-08-2018,47.4911,State,MP,Madhya Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-09-2018,46.7732,State,MP,Madhya Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-10-2018,47.18787691,State,MP,Madhya Pradesh,Forecasted
I T C_BINGO TEDHE MEDHE,01-11-2018,47.83543857,State,MP,Madhya Pradesh,Forecasted
I T C_BINGO TEDHE MEDHE,01-12-2018,48.48300022,State,MP,Madhya Pradesh,Forecasted
I T C_BINGO TEDHE MEDHE,01-09-2017,167.3618,State,OR,Orissa,Training
I T C_BINGO TEDHE MEDHE,01-10-2017,175.1539,State,OR,Orissa,Training
I T C_BINGO TEDHE MEDHE,01-11-2017,179.6736,State,OR,Orissa,Training
I T C_BINGO TEDHE MEDHE,01-12-2017,184.8321,State,OR,Orissa,Training
I T C_BINGO TEDHE MEDHE,01-01-2018,202.6687,State,OR,Orissa,Training
I T C_BINGO TEDHE MEDHE,01-02-2018,184.1343,State,OR,Orissa,Training
I T C_BINGO TEDHE MEDHE,01-03-2018,216.3514,State,OR,Orissa,Training
I T C_BINGO TEDHE MEDHE,01-04-2018,203.5305,State,OR,Orissa,Training
I T C_BINGO TEDHE MEDHE,01-05-2018,203.5661,State,OR,Orissa,Training
I T C_BINGO TEDHE MEDHE,01-06-2018,209.643,State,OR,Orissa,Training
I T C_BINGO TEDHE MEDHE,01-07-2018,205.9491,State,OR,Orissa,Training
I T C_BINGO TEDHE MEDHE,01-08-2018,199.9082,State,OR,Orissa,Training
I T C_BINGO TEDHE MEDHE,01-09-2018,170.9846,State,OR,Orissa,Training
I T C_BINGO TEDHE MEDHE,01-10-2018,187.8975152,State,OR,Orissa,Forecasted
I T C_BINGO TEDHE MEDHE,01-11-2018,183.7702143,State,OR,Orissa,Forecasted
I T C_BINGO TEDHE MEDHE,01-12-2018,189.300949,State,OR,Orissa,Forecasted
I T C_BINGO TEDHE MEDHE,01-09-2017,165.1713,State,PB,Punjab,Training
I T C_BINGO TEDHE MEDHE,01-10-2017,167.3957,State,PB,Punjab,Training
I T C_BINGO TEDHE MEDHE,01-11-2017,164.347,State,PB,Punjab,Training
I T C_BINGO TEDHE MEDHE,01-12-2017,176.8534,State,PB,Punjab,Training
I T C_BINGO TEDHE MEDHE,01-01-2018,175.7859,State,PB,Punjab,Training
I T C_BINGO TEDHE MEDHE,01-02-2018,168.6042,State,PB,Punjab,Training
I T C_BINGO TEDHE MEDHE,01-03-2018,180.5282,State,PB,Punjab,Training
I T C_BINGO TEDHE MEDHE,01-04-2018,181.3863,State,PB,Punjab,Training
I T C_BINGO TEDHE MEDHE,01-05-2018,195.4335,State,PB,Punjab,Training
I T C_BINGO TEDHE MEDHE,01-06-2018,192.0234,State,PB,Punjab,Training
I T C_BINGO TEDHE MEDHE,01-07-2018,194.4041,State,PB,Punjab,Training
I T C_BINGO TEDHE MEDHE,01-08-2018,191.2588,State,PB,Punjab,Training
I T C_BINGO TEDHE MEDHE,01-09-2018,182.0797,State,PB,Punjab,Training
I T C_BINGO TEDHE MEDHE,01-10-2018,186.8233284,State,PB,Punjab,Forecasted
I T C_BINGO TEDHE MEDHE,01-11-2018,184.3718887,State,PB,Punjab,Forecasted
I T C_BINGO TEDHE MEDHE,01-12-2018,185.6387579,State,PB,Punjab,Forecasted
I T C_BINGO TEDHE MEDHE,01-09-2017,151.1962,State,RJ,Rajasthan,Training
I T C_BINGO TEDHE MEDHE,01-10-2017,153.1485,State,RJ,Rajasthan,Training
I T C_BINGO TEDHE MEDHE,01-11-2017,154.4846,State,RJ,Rajasthan,Training
I T C_BINGO TEDHE MEDHE,01-12-2017,160.7553,State,RJ,Rajasthan,Training
I T C_BINGO TEDHE MEDHE,01-01-2018,162.1382,State,RJ,Rajasthan,Training
I T C_BINGO TEDHE MEDHE,01-02-2018,147.9581,State,RJ,Rajasthan,Training
I T C_BINGO TEDHE MEDHE,01-03-2018,159.8576,State,RJ,Rajasthan,Training
I T C_BINGO TEDHE MEDHE,01-04-2018,162.697,State,RJ,Rajasthan,Training
I T C_BINGO TEDHE MEDHE,01-05-2018,161.4367,State,RJ,Rajasthan,Training
I T C_BINGO TEDHE MEDHE,01-06-2018,175.6092,State,RJ,Rajasthan,Training
I T C_BINGO TEDHE MEDHE,01-07-2018,196.3528,State,RJ,Rajasthan,Training
I T C_BINGO TEDHE MEDHE,01-08-2018,175.7086,State,RJ,Rajasthan,Training
I T C_BINGO TEDHE MEDHE,01-09-2018,200.6874,State,RJ,Rajasthan,Training
I T C_BINGO TEDHE MEDHE,01-10-2018,192.3338767,State,RJ,Rajasthan,Forecasted
I T C_BINGO TEDHE MEDHE,01-11-2018,199.6723293,State,RJ,Rajasthan,Forecasted
I T C_BINGO TEDHE MEDHE,01-12-2018,199.6234148,State,RJ,Rajasthan,Forecasted
I T C_BINGO TEDHE MEDHE,01-09-2017,28.7197,State,TN,Tamil Nadu,Training
I T C_BINGO TEDHE MEDHE,01-10-2017,32.8169,State,TN,Tamil Nadu,Training
I T C_BINGO TEDHE MEDHE,01-11-2017,45.7081,State,TN,Tamil Nadu,Training
I T C_BINGO TEDHE MEDHE,01-12-2017,57.2341,State,TN,Tamil Nadu,Training
I T C_BINGO TEDHE MEDHE,01-01-2018,63.6615,State,TN,Tamil Nadu,Training
I T C_BINGO TEDHE MEDHE,01-02-2018,57.3526,State,TN,Tamil Nadu,Training
I T C_BINGO TEDHE MEDHE,01-03-2018,61.7117,State,TN,Tamil Nadu,Training
I T C_BINGO TEDHE MEDHE,01-04-2018,58.9942,State,TN,Tamil Nadu,Training
I T C_BINGO TEDHE MEDHE,01-05-2018,58.7273,State,TN,Tamil Nadu,Training
I T C_BINGO TEDHE MEDHE,01-06-2018,56.1959,State,TN,Tamil Nadu,Training
I T C_BINGO TEDHE MEDHE,01-07-2018,59.9547,State,TN,Tamil Nadu,Training
I T C_BINGO TEDHE MEDHE,01-08-2018,61.0462,State,TN,Tamil Nadu,Training
I T C_BINGO TEDHE MEDHE,01-09-2018,59.5469,State,TN,Tamil Nadu,Training
I T C_BINGO TEDHE MEDHE,01-10-2018,58.81780587,State,TN,Tamil Nadu,Forecasted
I T C_BINGO TEDHE MEDHE,01-11-2018,58.46325492,State,TN,Tamil Nadu,Forecasted
I T C_BINGO TEDHE MEDHE,01-12-2018,58.29084044,State,TN,Tamil Nadu,Forecasted
I T C_BINGO TEDHE MEDHE,01-09-2017,12.2396,State,TS,Telangana,Training
I T C_BINGO TEDHE MEDHE,01-10-2017,12.8623,State,TS,Telangana,Training
I T C_BINGO TEDHE MEDHE,01-11-2017,17.9411,State,TS,Telangana,Training
I T C_BINGO TEDHE MEDHE,01-12-2017,16.8291,State,TS,Telangana,Training
I T C_BINGO TEDHE MEDHE,01-01-2018,23.3093,State,TS,Telangana,Training
I T C_BINGO TEDHE MEDHE,01-02-2018,25.3973,State,TS,Telangana,Training
I T C_BINGO TEDHE MEDHE,01-03-2018,25.6311,State,TS,Telangana,Training
I T C_BINGO TEDHE MEDHE,01-04-2018,23.8683,State,TS,Telangana,Training
I T C_BINGO TEDHE MEDHE,01-05-2018,22.301,State,TS,Telangana,Training
I T C_BINGO TEDHE MEDHE,01-06-2018,26.9119,State,TS,Telangana,Training
I T C_BINGO TEDHE MEDHE,01-07-2018,24.5078,State,TS,Telangana,Training
I T C_BINGO TEDHE MEDHE,01-08-2018,26.7025,State,TS,Telangana,Training
I T C_BINGO TEDHE MEDHE,01-09-2018,28.4109,State,TS,Telangana,Training
I T C_BINGO TEDHE MEDHE,01-10-2018,29.24651471,State,TS,Telangana,Forecasted
I T C_BINGO TEDHE MEDHE,01-11-2018,30.08212941,State,TS,Telangana,Forecasted
I T C_BINGO TEDHE MEDHE,01-12-2018,30.91774412,State,TS,Telangana,Forecasted
I T C_BINGO TEDHE MEDHE,01-09-2017,72.9551,State,UK,Uttarakhand,Training
I T C_BINGO TEDHE MEDHE,01-10-2017,76.7074,State,UK,Uttarakhand,Training
I T C_BINGO TEDHE MEDHE,01-11-2017,76.0909,State,UK,Uttarakhand,Training
I T C_BINGO TEDHE MEDHE,01-12-2017,74.338,State,UK,Uttarakhand,Training
I T C_BINGO TEDHE MEDHE,01-01-2018,72.381,State,UK,Uttarakhand,Training
I T C_BINGO TEDHE MEDHE,01-02-2018,69.9659,State,UK,Uttarakhand,Training
I T C_BINGO TEDHE MEDHE,01-03-2018,82.3345,State,UK,Uttarakhand,Training
I T C_BINGO TEDHE MEDHE,01-04-2018,76.9293,State,UK,Uttarakhand,Training
I T C_BINGO TEDHE MEDHE,01-05-2018,86.1973,State,UK,Uttarakhand,Training
I T C_BINGO TEDHE MEDHE,01-06-2018,84.3711,State,UK,Uttarakhand,Training
I T C_BINGO TEDHE MEDHE,01-07-2018,86.0149,State,UK,Uttarakhand,Training
I T C_BINGO TEDHE MEDHE,01-08-2018,83.2546,State,UK,Uttarakhand,Training
I T C_BINGO TEDHE MEDHE,01-09-2018,79.4828,State,UK,Uttarakhand,Training
I T C_BINGO TEDHE MEDHE,01-10-2018,83.82238696,State,UK,Uttarakhand,Forecasted
I T C_BINGO TEDHE MEDHE,01-11-2018,83.20588696,State,UK,Uttarakhand,Forecasted
I T C_BINGO TEDHE MEDHE,01-12-2018,81.45298696,State,UK,Uttarakhand,Forecasted
I T C_BINGO TEDHE MEDHE,01-09-2017,653.7497,State,UP,Uttar Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-10-2017,688.7975,State,UP,Uttar Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-11-2017,668.3167,State,UP,Uttar Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-12-2017,660.0152,State,UP,Uttar Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-01-2018,711.4239,State,UP,Uttar Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-02-2018,647.886,State,UP,Uttar Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-03-2018,684.6405,State,UP,Uttar Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-04-2018,718.9766,State,UP,Uttar Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-05-2018,775.1356,State,UP,Uttar Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-06-2018,769.9637,State,UP,Uttar Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-07-2018,744.5022,State,UP,Uttar Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-08-2018,747.0282,State,UP,Uttar Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-09-2018,702.3609,State,UP,Uttar Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-10-2018,731.6808001,State,UP,Uttar Pradesh,Forecasted
I T C_BINGO TEDHE MEDHE,01-11-2018,726.6213016,State,UP,Uttar Pradesh,Forecasted
I T C_BINGO TEDHE MEDHE,01-12-2018,737.5367697,State,UP,Uttar Pradesh,Forecasted
I T C_BINGO TEDHE MEDHE,01-09-2017,224.4171,State,WB,West Bengal,Training
I T C_BINGO TEDHE MEDHE,01-10-2017,227.6401,State,WB,West Bengal,Training
I T C_BINGO TEDHE MEDHE,01-11-2017,238.766,State,WB,West Bengal,Training
I T C_BINGO TEDHE MEDHE,01-12-2017,220.3189,State,WB,West Bengal,Training
I T C_BINGO TEDHE MEDHE,01-01-2018,243.84,State,WB,West Bengal,Training
I T C_BINGO TEDHE MEDHE,01-02-2018,246.3999,State,WB,West Bengal,Training
I T C_BINGO TEDHE MEDHE,01-03-2018,238.4189,State,WB,West Bengal,Training
I T C_BINGO TEDHE MEDHE,01-04-2018,243.2353,State,WB,West Bengal,Training
I T C_BINGO TEDHE MEDHE,01-05-2018,255.4351,State,WB,West Bengal,Training
I T C_BINGO TEDHE MEDHE,01-06-2018,260.6505,State,WB,West Bengal,Training
I T C_BINGO TEDHE MEDHE,01-07-2018,254.4548,State,WB,West Bengal,Training
I T C_BINGO TEDHE MEDHE,01-08-2018,257.2278,State,WB,West Bengal,Training
I T C_BINGO TEDHE MEDHE,01-09-2018,258.5637,State,WB,West Bengal,Training
I T C_BINGO TEDHE MEDHE,01-10-2018,264.1495059,State,WB,West Bengal,Forecasted
I T C_BINGO TEDHE MEDHE,01-11-2018,269.7353118,State,WB,West Bengal,Forecasted
I T C_BINGO TEDHE MEDHE,01-12-2018,275.3211176,State,WB,West Bengal,Forecasted
